store,mae,rmse,wape,mape
1,50080.9146,67230.612,0.0321,0.0316
2,80053.5662,96559.615,0.0427,0.0424
3,11411.2676,13903.8201,0.0278,0.0278
4,52468.2688,61545.0949,0.0245,0.0244
5,10819.0021,14780.0384,0.0337,0.0325
6,41629.447,61547.648,0.0272,0.0265
7,41537.7744,46826.4834,0.0687,0.0723
8,25725.8526,32415.7924,0.0283,0.028
9,17982.1667,21764.4296,0.0329,0.0332
10,44515.0644,58833.2074,0.0252,0.025
11,56072.6976,77876.4819,0.042,0.0434
12,23135.3752,28318.5976,0.024,0.0241
13,45144.2741,59928.7666,0.0222,0.0221
14,195319.7906,213098.0151,0.1194,0.121
15,22462.2797,27435.6741,0.0388,0.0387
16,29417.1049,33283.0583,0.0547,0.0557
17,44363.7202,62307.7652,0.0465,0.0437
18,94085.5721,130266.8565,0.0897,0.0877
19,42068.2699,49970.9948,0.0303,0.0302
20,75416.4219,103511.4693,0.0363,0.0351
21,47581.8775,55434.8369,0.0694,0.0692
22,24227.2039,34000.3915,0.0243,0.0241
23,60498.3749,71671.7796,0.0424,0.0417
24,49428.8625,58339.4279,0.036,0.0354
25,22565.1526,25939.3351,0.0323,0.032
26,34075.4397,44223.0181,0.0326,0.033
27,57664.317,75033.1774,0.0339,0.0344
28,64555.5838,86316.224,0.052,0.0514
29,24593.9409,33247.0344,0.0477,0.0481
30,9221.4651,12121.739,0.0213,0.0212
31,77347.6781,82496.7932,0.0565,0.0568
32,42049.0009,48543.367,0.0354,0.0357
33,16432.5053,19037.1736,0.0621,0.0637
34,22314.5399,25825.7113,0.0232,0.0231
35,58021.7593,71259.7659,0.0668,0.065
36,26208.0206,28623.316,0.0897,0.0913
37,7723.9679,9915.5565,0.0148,0.015
38,17763.5454,25524.3189,0.0411,0.0396
39,66874.3884,82474.9409,0.0422,0.0415
40,34339.9156,45828.5551,0.0348,0.0342
41,36652.2859,46397.6183,0.0265,0.026
42,26130.2146,29116.216,0.0465,0.047
43,22489.1266,26382.7889,0.0365,0.036
44,25542.9821,28413.0534,0.0752,0.0744
45,27125.9196,36052.1069,0.0368,0.0367
ALL,42336.3755,63609.577,0.041,0.0427
