feature,mean_abs_shap
lag_52,217108.49582344896
rolling_mean_4,162315.25605285543
lag_4,68392.73208037108
store,10053.563062224352
lag_1,7018.735550332861
lag_8,6631.3136245604965
rolling_mean_8,6484.229178634411
rolling_mean_12,6203.9113541306715
unemployment,5545.541805099397
rolling_max_4,4625.175962987125
unemployment_yoy,4328.301358031608
month_sin,4040.3291203662084
week_sin,3528.8015565206438
week_of_year,2861.9296540946366
rolling_std_8,2343.7763908914976
week_cos,2329.531201221648
fuel_price_chg,2018.852487295454
rolling_std_12,1964.0532338024361
month_cos,1900.027137160943
temperature,1683.013281665063
weeks_to_christmas,1613.2778356490726
holiday_flag,1431.8548327407625
cpi,1385.829624870884
fuel_price,1347.0158898871707
rolling_std_4,1271.4349896167087
cpi_chg,973.3712232671214
is_thanksgiving,851.2698478467037
month,713.3705622653016
quarter,284.23179251224
weeks_to_thanksgiving,180.56887502112485
is_laborday,100.4868045212691
is_superbowl,9.71508832508399
is_christmas,5.962627114089166
day_of_week,0.0
year,0.0
